,tconst,primaryTitle,startYear,ordering,nconst,characters,primaryName,birthYear
82532,tt0095357,Illegally Yours,1988,1.0,nm0000507,"[""Richard Dice""]",Rob Lowe,1964
82533,tt0119555,Living in Peril,1997,1.0,nm0000507,"[""Walter Woods""]",Rob Lowe,1964
82534,tt0158049,One Hell of a Guy,1998,1.0,nm0000507,"[""Nick""]",Rob Lowe,1964
82535,tt0181836,The Specials,2000,1.0,nm0000507,"[""The Weevil""]",Rob Lowe,1964
82536,tt3417854,Pocket Listing,2015,3.0,nm0000507,"[""Frank Hunter""]",Rob Lowe,1964
82537,tt4795124,How to Be a Latin Lover,2017,4.0,nm0000507,"[""Rick""]",Rob Lowe,1964
82538,tt0085346,Class,1983,3.0,nm0000530,"[""Jonathan""]",Andrew McCarthy,1962
82539,tt0089264,Heaven Help Us,1985,2.0,nm0000530,"[""Michael Dunn""]",Andrew McCarthy,1962
82540,tt0093493,Mannequin,1987,1.0,nm0000530,"[""Jonathan Switcher""]",Andrew McCarthy,1962
82541,tt0108539,Weekend at Bernie's II,1993,1.0,nm0000530,"[""Larry Wilson""]",Andrew McCarthy,1962
82542,tt0364914,2BPerfectlyHonest,2004,2.0,nm0000530,"[""Josh""]",Andrew McCarthy,1962
82543,tt1245534,Snatched,2011,1.0,nm0000530,"[""Frank Baum""]",Andrew McCarthy,1962
82544,tt1748224,Brooklyn Brothers Beat the Best,2011,4.0,nm0000530,"[""Brian""]",Andrew McCarthy,1962
82546,tt0085387,D.C. Cab,1983,1.0,nm0301178,"[""Harold""]",Max Gail,1943
82547,tt2012599,JumpRopeSprint,2011,2.0,nm0301178,"[""Uncle Charlie""]",Max Gail,1943
82548,tt4708366,Don't Tell Kim,2016,3.0,nm0301178,"[""Uncle Charlie""]",Max Gail,1943
82549,tt0085387,D.C. Cab,1983,3.0,nm0001558,"[""Samson""]",Mr. T,1952
82550,tt0110434,The Magic of the Golden Bear: Goldy III,1994,2.0,nm0001558,"[""Freedom""]",Mr. T,1952
82570,tt0085412,Deal of the Century,1983,2.0,nm0000244,"[""Catherine DeVoto""]",Sigourney Weaver,1949
82571,tt0087332,Ghostbusters,1984,3.0,nm0000244,"[""Dana Barrett""]",Sigourney Weaver,1949
82572,tt0096463,Working Girl,1988,3.0,nm0000244,"[""Katharine Parker""]",Sigourney Weaver,1949
82573,tt0106673,Dave,1993,2.0,nm0000244,"[""Ellen Mitchell""]",Sigourney Weaver,1949
82574,tt0125022,Heartbreakers,2001,1.0,nm0000244,"[""Angela Nardino"",""Max Conners"",""Ulga Yevanova""]",Sigourney Weaver,1949
